Nr. Linii;Godzina;Liczba przejazdów;Pętla1;Pętla 2
1;04:00;3;POŚWIĘTNE;BISKUPIN
1;05:00;4;POŚWIĘTNE;BISKUPIN
1;06:00;5;POŚWIĘTNE;BISKUPIN
1;07:00;5;POŚWIĘTNE;BISKUPIN
1;08:00;5;POŚWIĘTNE;BISKUPIN
1;09:00;4;POŚWIĘTNE;BISKUPIN
1;10:00;4;POŚWIĘTNE;BISKUPIN
1;11:00;4;POŚWIĘTNE;BISKUPIN
1;12:00;4;POŚWIĘTNE;BISKUPIN
1;13:00;4;POŚWIĘTNE;BISKUPIN
1;14:00;5;POŚWIĘTNE;BISKUPIN
1;15:00;5;POŚWIĘTNE;BISKUPIN
1;16:00;5;POŚWIĘTNE;BISKUPIN
1;17:00;4;POŚWIĘTNE;BISKUPIN
1;18:00;4;POŚWIĘTNE;BISKUPIN
1;19:00;4;POŚWIĘTNE;BISKUPIN
1;20:00;3;POŚWIĘTNE;BISKUPIN
1;21:00;3;POŚWIĘTNE;BISKUPIN
1;22:00;2;POŚWIĘTNE;BISKUPIN
1;23:00;0;POŚWIĘTNE;BISKUPIN
1;00:00;0;POŚWIĘTNE;BISKUPIN
1;01:00;0;POŚWIĘTNE;BISKUPIN
1;02:00;0;POŚWIĘTNE;BISKUPIN
1;03:00;0;POŚWIĘTNE;BISKUPIN
2;04:00;0;BISKUPIN;KRZYKI
2;05:00;4;BISKUPIN;KRZYKI
2;06:00;5;BISKUPIN;KRZYKI
2;07:00;5;BISKUPIN;KRZYKI
2;08:00;5;BISKUPIN;KRZYKI
2;09:00;4;BISKUPIN;KRZYKI
2;10:00;4;BISKUPIN;KRZYKI
2;11:00;4;BISKUPIN;KRZYKI
2;12:00;4;BISKUPIN;KRZYKI
2;13:00;4;BISKUPIN;KRZYKI
2;14:00;5;BISKUPIN;KRZYKI
2;15:00;5;BISKUPIN;KRZYKI
2;16:00;5;BISKUPIN;KRZYKI
2;17:00;5;BISKUPIN;KRZYKI
2;18:00;4;BISKUPIN;KRZYKI
2;19:00;4;BISKUPIN;KRZYKI
2;20:00;5;BISKUPIN;KRZYKI
2;21:00;3;BISKUPIN;KRZYKI
2;22:00;3;BISKUPIN;KRZYKI
2;23:00;5;BISKUPIN;KRZYKI
2;00:00;0;BISKUPIN;KRZYKI
2;01:00;0;BISKUPIN;KRZYKI
2;02:00;0;BISKUPIN;KRZYKI
2;03:00;0;BISKUPIN;KRZYKI
